ts,ticker,series,fav_side,fav_price,price_bin,event_cluster_id,mid,ask_close,ask_low,quote,filled,fill_px,settle,pnl,d_mid,volume,lead_h,spread_at_fill
1787270400,KXAVGTATL-26AUG23-2,KXAVGTATL-26AUG2,no,0.925,0.90-0.95,KXAVGTATL-26AUG2,0.075,0.12,0.12,0.11,False,,0.0,,-0.015,0.0,75.98333333333333,0.09
1787274000,KXAVGTATL-26AUG23-2,KXAVGTATL-26AUG2,no,0.925,0.90-0.95,KXAVGTATL-26AUG2,0.06,0.11,0.11,0.1,False,,0.0,,-0.029999999999999995,0.0,74.98333333333333,0.1
1787277600,KXAVGTATL-26AUG23-2,KXAVGTATL-26AUG2,no,0.925,0.90-0.95,KXAVGTATL-26AUG2,0.030000000000000002,0.05,0.05,0.04,False,,0.0,,-0.015000000000000003,0.0,73.98333333333333,0.04
1787281200,KXAVGTATL-26AUG23-2,KXAVGTATL-26AUG2,no,0.925,0.90-0.95,KXAVGTATL-26AUG2,0.015,0.02,0.02,0.01,False,,0.0,,0.0,0.0,72.98333333333333,0.01
1787284800,KXAVGTATL-26AUG23-2,KXAVGTATL-26AUG2,no,0.925,0.90-0.95,KXAVGTATL-26AUG2,0.015,0.02,0.02,0.01,False,,0.0,,0.0,0.0,71.98333333333333,0.01
1787288400,KXAVGTATL-26AUG23-2,KXAVGTATL-26AUG2,no,0.925,0.90-0.95,KXAVGTATL-26AUG2,0.015,0.02,0.02,0.01,False,,0.0,,0.0,0.0,70.98333333333333,0.01
1787292000,KXAVGTATL-26AUG23-2,KXAVGTATL-26AUG2,no,0.925,0.90-0.95,KXAVGTATL-26AUG2,0.015,0.02,0.02,0.01,False,,0.0,,0.0,0.0,69.98333333333333,0.01
1787295600,KXAVGTATL-26AUG23-2,KXAVGTATL-26AUG2,no,0.925,0.90-0.95,KXAVGTATL-26AUG2,0.015,0.02,0.02,0.01,False,,0.0,,0.0,0.0,68.98333333333333,0.01
1787299200,KXAVGTATL-26AUG23-2,KXAVGTATL-26AUG2,no,0.925,0.90-0.95,KXAVGTATL-26AUG2,0.015,0.02,0.02,0.01,False,,0.0,,0.0,0.0,67.98333333333333,0.01
1787302800,KXAVGTATL-26AUG23-2,KXAVGTATL-26AUG2,no,0.925,0.90-0.95,KXAVGTATL-26AUG2,0.015,0.02,0.02,0.01,False,,0.0,,0.0,0.0,66.98333333333333,0.01
