ticker,series,fav_side,fav_price,price_bin,event_cluster_id,mid,ask_close,ask_low,quote,filled,fill_px,settle,pnl,d_mid,volume,n_candles
KXARTISTSTREAMSY-COLE26DEC31-4.0B,KXARTISTSTREAMSY,yes,0.845,other,KXARTISTSTREAMSY,0.53,0.57,0.57,0.5599999999999999,False,,1.0,,0.08499999999999996,0.0,679
KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.53,0.57,0.57,0.5599999999999999,False,,1.0,,0.06000000000000005,0.0,3910
KXARTISTSTREAMSY-SWIFT26DEC31-18.5B,KXARTISTSTREAMSY,yes,0.915,0.90-0.95,KXARTISTSTREAMSY,0.9099999999999999,0.95,0.95,0.94,False,,1.0,,0.0,0.0,2065
KXGOLDH-26AUG2512-T4627.99,KXGOLDH-26AUG251,yes,0.99,0.95-0.99,KXGOLDH-26AUG251,0.66,0.68,0.68,0.67,False,,1.0,,-0.010000000000000009,0.0,103
KXGOLDH-26AUG2512-T4629.99,KXGOLDH-26AUG251,yes,0.9650000000000001,0.95-0.99,KXGOLDH-26AUG251,0.6599999999999999,0.69,0.67,0.6799999999999999,True,0.6799999999999999,1.0,0.32000000000000006,0.010000000000000009,0.0,110
KXGOLDH-26AUG2512-T4631.99,KXGOLDH-26AUG251,yes,0.99,0.95-0.99,KXGOLDH-26AUG251,0.59,0.61,0.61,0.6,False,,1.0,,0.020000000000000018,0.0,93
KXGOLDH-26AUG2512-T4635.99,KXGOLDH-26AUG251,no,0.505,other,KXGOLDH-26AUG251,0.495,0.54,0.51,0.53,True,0.53,0.0,-0.53,-0.03500000000000003,0.0,94
KXGOLDH-26AUG2512-T4639.99,KXGOLDH-26AUG251,yes,0.995,0.99-1.00,KXGOLDH-26AUG251,0.32999999999999996,0.35,0.35,0.33999999999999997,False,,1.0,,0.020000000000000018,0.0,100
KXGOLDH-26AUG2512-T4643.99,KXGOLDH-26AUG251,yes,0.98,0.95-0.99,KXGOLDH-26AUG251,0.27,0.29,0.25,0.27999999999999997,True,0.27999999999999997,1.0,0.72,-0.020000000000000018,0.0,112
KXGOLDH-26AUG2512-T4645.99,KXGOLDH-26AUG251,yes,0.99,0.95-0.99,KXGOLDH-26AUG251,0.31,0.33,0.27,0.32,True,0.32,1.0,0.6799999999999999,0.08000000000000002,0.0,104
KXGOLDH-26AUG2512-T4647.99,KXGOLDH-26AUG251,yes,0.985,0.95-0.99,KXGOLDH-26AUG251,0.31000000000000005,0.34,0.24,0.33,True,0.33,1.0,0.6699999999999999,-0.010000000000000009,0.0,102
KXGOLDH-26AUG2512-T4649.99,KXGOLDH-26AUG251,yes,0.985,0.95-0.99,KXGOLDH-26AUG251,0.22,0.24,0.24,0.22999999999999998,False,,1.0,,0.03,0.0,95
KXGOLDH-26AUG2512-T4651.99,KXGOLDH-26AUG251,yes,0.985,0.95-0.99,KXGOLDH-26AUG251,0.4,0.42,0.26,0.41,True,0.41,1.0,0.5900000000000001,-0.040000000000000036,0.0,88
KXGOLDH-26AUG2512-T4653.99,KXGOLDH-26AUG251,no,0.97,0.95-0.99,KXGOLDH-26AUG251,0.31,0.33,0.23,0.32,True,0.32,1.0,0.6799999999999999,-0.02999999999999997,0.0,82
KXGOLDH-26AUG2512-T4655.99,KXGOLDH-26AUG251,no,0.98,0.95-0.99,KXGOLDH-26AUG251,0.22,0.25,0.23,0.24,True,0.24,1.0,0.76,-0.014999999999999986,0.0,74
KXGOLDH-26AUG2512-T4657.99,KXGOLDH-26AUG251,no,0.98,0.95-0.99,KXGOLDH-26AUG251,0.345,0.35,0.21,0.33999999999999997,True,0.33999999999999997,1.0,0.66,0.03500000000000003,125.0,73
KXSILVERH-26AUG2512-T67.949,KXSILVERH-26AUG2,yes,0.995,0.99-1.00,KXSILVERH-26AUG2,0.63,0.67,0.61,0.66,True,0.66,1.0,0.33999999999999997,0.009999999999999898,0.0,92
KXSILVERH-26AUG2512-T68.349,KXSILVERH-26AUG2,yes,0.95,0.90-0.95,KXSILVERH-26AUG2,0.495,0.52,0.46,0.51,True,0.51,1.0,0.49,-0.025000000000000022,0.0,107
KXSILVERH-26AUG2512-T68.499,KXSILVERH-26AUG2,yes,0.9550000000000001,0.95-0.99,KXSILVERH-26AUG2,0.365,0.41,0.39,0.39999999999999997,True,0.39999999999999997,1.0,0.6000000000000001,0.0050000000000000044,0.0,110
KXSILVERH-26AUG2512-T68.549,KXSILVERH-26AUG2,yes,0.9550000000000001,0.95-0.99,KXSILVERH-26AUG2,0.36,0.41,0.34,0.39999999999999997,True,0.39999999999999997,1.0,0.6000000000000001,-0.04999999999999999,0.0,113
KXSILVERH-26AUG2512-T68.699,KXSILVERH-26AUG2,yes,0.975,0.95-0.99,KXSILVERH-26AUG2,0.345,0.36,0.33,0.35,True,0.35,1.0,0.65,0.09500000000000003,30.0,106
KXSILVERH-26AUG2512-T68.749,KXSILVERH-26AUG2,yes,0.975,0.95-0.99,KXSILVERH-26AUG2,0.36,0.4,0.37,0.39,True,0.39,1.0,0.61,0.040000000000000036,0.0,99
KXSILVERH-26AUG2512-T68.799,KXSILVERH-26AUG2,yes,0.97,0.95-0.99,KXSILVERH-26AUG2,0.32,0.37,0.36,0.36,True,0.36,1.0,0.64,0.14999999999999997,0.0,96
